241	"agitation"	2.84	1.42	19	4.75	2.38	20
242	"aglow"	5.84	1.5	19	4.83	2.73	18
243	"agonizing"	2.68	1.49	19	6.71	1.95	21
244	"agony"	2.46	1.64	41	5.78	2.78	18
245	"agree"	7.17	1.58	18	3.62	2.09	21
246	"agreeable"	6.9	1.94	20	3.55	2.21	20
247	"agreement"	6.75	2.51	20	4.05	2.22	19
248	"agricultural"	5.5	2.41	18	3.55	2.18	22
249	"agriculture"	6.1	0.91	20	3.05	2.4	21
250	"ahoy"	5.58	1.64	19	3.95	2.2	21
251	"aid"	6.29	2.05	21	4.55	2.35	20
252	"aide"	5.6	1.19	20	4	1.66	22
253	"aids"	3.52	2.2	21	3.75	2.74	24
254	"AIDS"	1.33	0.8	21	5	2.6	20
255	"ailing"	2.95	1.43	22	4.52	2.48	21
256	"ailment"	3	1.37	18	3.68	2.25	22
257	"aim"	5.95	1.76	22	4	2.37	21
258	"air"	6.71	1.85	21	3.25	2.55	20
259	"airbag"	5.4	1.93	20	3.64	1.97	22
260	"airborne"	5.25	1.86	20	3.52	1.91	21
261	"aircraft"	6.3	1.42	20	4.86	2.46	22
262	"aircraft carrier"	5.25	1.8	20	4.64	2.59	22
263	"airfield"	5.74	1.48	19	4.38	2.22	21
264	"airhead"	4.1	2	21	4.3	2.32	20
265	"airline"	5.36	1.87	22	4.12	2.57	26
266	"airliner"	6.05	1.72	19	4	2.51	22
267	"airlock"	4.85	1.09	20	4.23	2.29	22
268	"airplane"	5.25	1.62	20	5.62	2.42	21
269	"airport"	6	2.14	21	5.5	2.78	20
270	"airship"	5.63	1.34	19	4.88	2.47	24
271	"airspace"	5.5	1.29	18	4.4	2.16	20
272	"airspeed"	4.95	1.51	19	4.33	2.79	18
273	"airstrip"	4.76	1.48	21	3.83	2.68	24
274	"airtight"	5.1	1.86	20	3.3	2.01	23
275	"airway"	4.95	1.81	19	4	1.97	21
276	"aisle"	5.17	1.65	18	2.5	1.44	22
277	"ajar"	5	1.55	21	3.26	2.32	23
278	"aka"	4.63	1.46	19	3.39	2.33	18
279	"alabaster"	5.5	1.43	20	3.95	2.06	21
280	"alarm"	3.86	1.98	21	6.85	2.39	20
281	"alarm clock"	3.47	1.47	19	5.36	2.77	22
282	"alarming"	3.52	2.04	21	6.5	2.09	20
283	"albatross"	5.68	2.31	19	3.09	1.6	22
284	"albino"	4.9	1.51	21	3.09	1.6	22
285	"album"	6.19	1.78	21	5.63	2.63	19
286	"alcohol"	4.11	2.08	19	5.17	1.86	18
287	"alcoholic"	2.49	1.54	39	5.48	2.69	23
288	"alcoholism"	2	1.61	21	5	2.45	24
289	"alcove"	5.5	1.91	20	3.32	2.39	25
290	"alderman"	4.44	2.12	18	3.05	1.89	22
291	"ale"	5.95	1.31	19	4.1	2.1	21
292	"alert"	5.38	1.72	40	5.14	2.41	43
293	"alfalfa"	4.79	1.9	19	3.67	1.91	21
294	"algebra"	5.4	2.28	20	4.6	2.66	20
295	"algorithm"	5.3	1.59	20	3.7	1.87	20
296	"alias"	5	1.03	20	4.71	2.05	21
297	"alibi"	4.16	1.89	19	4.5	1.88	20
298	"alien"	4.45	1.82	20	4.86	2.21	22
299	"alienate"	2.79	1.62	19	4.27	1.88	22
300	"alienation"	2.53	1.17	19	5.14	1.88	22
301	"alight"	5.67	1.43	21	3.86	2.03	21
302	"align"	5.95	1.75	19	3.32	1.91	22
303	"alignment"	6	1.48	21	3.92	2.34	24
304	"alimony"	3.86	1.74	21	3.09	2.45	23
305	"alive"	6.57	2.33	23	5.93	2.88	41
